Category,CoinSymbol,CoinName,addORremove
"BRC-20","MOON","MOON (Ordinals)",add
"BRC-20","MAXI","MAXI (Ordinals)",add
"BRC-20","$B20","ALEX $B20",add
"Predictions","SX","SX Network",add
"Predictions","POLK","Polkamarkets",add
"Privacy Coin","RAIL","Railgun",add
"Zero Knowledge","RAIL","Railgun",add
"Storage","ICP","Internet Computer",add
"BRC-20 Token","TRAC","TRAC (Ordinals)",remove
"RWA Protocols","EL","ELYSIA",remove
"RWA Protocols","PROPC","Propchain",remove
"RWA Protocols","OPUL","Opulous",remove
"RWA Protocols","BOSON","Boson Protocol", remove
"RWA Protocols","PRO","Propy",remove
"RWA Protocols","Creditcoin","CTC",remove
"RWA Protocols","BTM","Bytom",remove
"RWA Protocols","POLYX","Polymesh",remove
"RWA Protocols","POLY","Polymath",remove
"RWA Protocols","USDR","Real USD",remove
"RWA Protocols","MKR","Maker",remove
"RWA (Real World Assets)","EL","ELYSIA",add
"DePIN","FIL","Filecoin",add
"DePIN","RNDR","Render",add
"DePIN","THETA","Theta Network",add
"DePIN","IOTA","IOTA",add
"DePIN","HNT","Helium",add
"DePIN","AKT","Akash Network",add
"DePIN","AR","Arweave",add
"DePIN","SC","Siacoin",add
"DePIN","IOTX","IoTeX",add
"DePIN","HOT","Holo",add
"DePIN","XCH","Chia",add
"DePIN","POKT","Pocket Network",add
"DePIN","OCEAN","Ocean Protocol",add
"DePIN","MOBILE","Helium Mobile",add
"DePIN","GLM","Golem",add
"DePIN","LPT","Livepeer",add
"DePIN","SHDW","Shadow Token",add
"DePIN","FLUX","Flux",add
"DePIN","AIOZ","AIOZ Network",add
"DePIN","HONEY","Hivemapper",add
"DePIN","STORJ","Storj",add
"DePIN","XYO","XYO Network",add
"DePIN","DIMO","DIMO",add
"DePIN","STOS","Stratos",add
"DePIN","WMT","World Mobile Token",add
"DePIN","CUDOS","Cudos",add
"DePIN","OXT","Orchid Protocol",add
"DePIN","CRU","Crust Network",add
"DePIN","DATA","Streamr",add
"DePIN","IOT","Helium IOT",add
"DePIN","JKL","Jackal Protocol",add
"DePIN","CERE","Cere Network",add
"DePIN","DVPN","Sentinel",add
"DePIN","HOPR","HOPR",add
"DePIN","ALEPH","Aleph.im",add
"DePIN","NODL","Nodle Network",add
"DePIN","WNT","Wicrypt",add
"DePIN","ZCN","Zus",add
"DePIN","WIFI","WiFi Map",add
"DePIN","NCDT","Nuco.cloud",add
"DePIN","GEOD","Geodnet",add
"DePIN","FOAM","FOAM",add
"DePIN","TAO","Bittensor",add
"DePIN","ATOR","AirTor Protocol",add
"DePIN","OCTA","OctaSpace",add
"DePIN","NAVI","Atlas Navi",add
"DePIN","RWN","Rowan Coin",add
"RWA (Real World Assets)","USDY","Ondo US Dollar Yield",add
"Layer 1","SEI","Sei",add
"Layer 1","KLAY","Klaytn",add
"Gaming","APE","ApeCoin",add
"NFT","APE","ApeCoin",add
